location,lat,lon,assignment_count,licensees,service
AWARUA EARTH STATION,-46.52864,168.37913,315,1,Satellite & Space
SKYTOWER AUCKLAND,-36.84835,174.76167,142,13,Land Mobile
ALL SOUTH ISLAND,-45.48396,168.14511,134,38,Land Mobile
KOPUKAIRUA,-37.73059,176.23808,112,23,Broadcasting
SUGARLOAF,-43.60361,172.64935,105,19,Fixed Link
RANGITAIKI,-38.84422,176.42837,103,2,Broadcasting
KAUKAU,-41.23351,174.77935,101,20,Broadcasting
CENTRAL NORTH ISLAND AREA,-37.81192,175.77041,94,12,Land Mobile
Awarua Earth Station-Leaf_1,-46.52808,168.37914,94,1,Satellite & Space
ALBANY SES,-36.74823,174.69586,89,1,Satellite & Space
SKYTOWER,-36.84835,174.76171,88,23,Broadcasting
MT CARGILL,-45.81279,170.55562,81,19,Broadcasting
MT ERIN,-39.74013,176.84086,78,13,Broadcasting
MT CAMPBELL,-41.12375,172.85273,73,22,Land Mobile
PARAHAKI,-35.71267,174.337,73,16,Broadcasting
CAPE WANBROW,-45.11661,170.96797,71,18,Broadcasting
MT ROCHFORT,-41.77864,171.74057,68,15,Land Mobile
WHARITE,-40.25468,175.85722,67,15,Fixed Link
HIGH PEAK,-46.04188,168.85219,66,14,Fixed Link
GLENBROOK MILL SITE AREA,-37.20669,174.72914,64,2,Land Mobile
PENINSULA HILL,-45.04033,168.72375,63,16,Broadcasting
PUKEPOTO,-38.49898,175.68475,63,11,Fixed Link
NORTH ISLAND,-37.76058,175.24833,63,14,Land Mobile
HEDGEHOPE,-46.09359,168.71092,62,14,Broadcasting
BASTIA HILL,-39.92683,175.06944,62,11,Broadcasting
MT PROSPECT,-45.41266,167.94936,61,17,Fixed Link
MATEA,-38.86832,176.43647,58,2,Maritime
WAIATARUA,-36.9255,174.56824,57,13,Fixed Link
GRAMPIANS,-41.29824,173.27956,56,8,Broadcasting
RURU,-37.79059,175.56146,56,13,Broadcasting
SULPHUR POINT,-37.6633,176.17064,56,3,Land Mobile
WANAKA,-44.70252,169.13631,55,7,Land Mobile
MAUNGATANIWHA,-35.23538,173.58502,55,13,Broadcasting
MT PLEASANT,-43.35535,172.88627,55,8,Land Mobile
WHANGAREI,-35.73069,174.32425,54,8,Land Mobile
MT EGMONT,-39.28925,174.08457,53,15,Broadcasting
PAEROA RANGE,-38.38086,176.25743,53,13,Fixed Link
MT NGONGOTAHA,-38.11883,176.19794,52,10,Land Mobile
BRYNDERWYN,-36.07306,174.42474,52,8,Fixed Link
AUCKLAND AIRPORT,-37.00638,174.78748,51,13,Land Mobile
HOROKAKA,-35.8706,174.13517,51,9,Broadcasting
TE UKU,-37.86904,174.96974,51,9,Fixed Link
WHEATSTONE RD,-38.67785,178.06893,51,13,Broadcasting
KAHURANAKI,-39.79555,176.87307,51,9,Land Mobile
WARKWORTH SES,-36.43145,174.66858,51,1,Satellite & Space
MARLEYS HILL (CCL) NORTHERN WOODEN POLE,-43.60967,172.63356,50,5,Land Mobile
BALD HILL,-44.90148,168.88406,49,17,Fixed Link
PAPAROA,-42.13861,171.46513,49,12,Broadcasting
MANUREWA RADIO,-36.99854,174.93856,48,4,Land Mobile
MT MURCHISON,-41.72949,172.49881,48,18,Land Mobile
HIKURANGI,-35.54428,173.94478,48,11,Broadcasting
NORTH RANGE ROAD,-40.33342,175.79072,47,7,Land Mobile
MT BURNETT,-40.64221,172.63771,47,16,Land Mobile
MT ALEXANDER,-42.9075,172.81222,46,14,Land Mobile
WIROA ISLAND,-37.01521,174.8113,46,2,Aeronautical
MT VICTORIA,-41.29575,174.7969,46,12,Land Mobile
MT FREETH,-41.29371,173.98029,45,11,Broadcasting
TUHINGAMATA,-38.70939,175.99625,45,10,Land Mobile
WHAKAPUNAKE,-38.8329,177.59832,45,13,Fixed Link
KAIKOURA RESERVOIR,-42.41922,173.69271,45,7,Land Mobile
TIWAI POINT(CRANE CONTROL),-46.58604,168.38669,45,1,Land Mobile
HIKURANGI SPUR,-37.94317,178.13416,44,10,Fixed Link
TOKATEA,-36.72551,175.51998,44,11,Fixed Link
BAY OF PLENTY AREA,-37.79342,176.41811,44,12,Land Mobile
TE AROHA,-37.53595,175.73592,44,13,Broadcasting
PORT OF LYTTELTON OPERATIONAL AREA,-43.58756,172.80801,44,2,Land Mobile
TARAPONUI,-39.13288,176.74013,43,11,Land Mobile
PORT OF TAURANGA OPERATIONAL AREA,-37.62354,176.17514,43,2,Land Mobile
AUCKLAND AREA,-36.85142,174.77284,43,15,Land Mobile
FOREST HEIGHTS,-40.84494,175.10324,43,11,Broadcasting
MARLEYS HILL,-43.61159,172.63431,43,10,Land Mobile
SEWELL PEAK,-42.40822,171.34272,42,7,Fixed Link
MT STUDHOLME,-44.64841,170.91627,42,14,Land Mobile
TAIT 245 WOOLDRIDGE RD WEST WING,-43.48715,172.56387,41,1,Land Mobile
TE PAKI,-38.05282,174.35052,41,14,Land Mobile
MAUNGAKAWA,-37.41405,175.39543,41,9,Land Mobile
STATION PEAK,-44.75069,170.56305,41,14,Fixed Link
COLONIAL KNOB,-41.1485,174.80842,41,8,Land Mobile
